crn,consultant_name,email,phone,city,state,zipcode,schools_served,total_applications,latest_funding_year
17033000,E-rate Management Corp,eratemanagementcorp@gmail.com,929-335-2819,Woodmere,NY,11598,1,8,2025
17033030,CityDroneZ LLC,Kmeenan@citydroneZ.com,888-437-6639,White Plains,NY,10601,1,4,2025
17033049,Townsend Consulting Partners LLC,townsendconsultingpartnersllc@gmail.com,903-738-3747,Richland Hills,TX,76118,4,31,2026
17033105,"TL TECH Services, LLC",tltechservicesllc@gmail.com,570-854-3669,Danville,PA,17821,1,3,2024
17033107,Provision Scout,jeff@provisionscout.com,615-428-7475,Franklin,TN,37064,70,502,2025
17033235,Catalyst Sourcing Solutions,Info@Catalystsourcing.com,877-386-9009,Eagan,MN,55122,6,34,2025
17034658,The Boros Group,theborosgroup@gmail.com,910-408-2530,Wilmington,NC,28411,1,4,2025
17034970,CESA 7,brodgers@cesa7.org,920-492-5960,Green Bay,WI,54304,2,14,2025
17035293,"J&M Consulting and Educational Services, Inc.",mcortes@jmconsultingpr.com,787-395-7151,San Juan,PR,00926,27,68,2025
17035338,ESU 17 E-Rate Services,erate@esu17.org,402-387-1420,Ainsworth,NE,69210,5,308,2026
17035347,Choice Schools,paulezel@choiceschools.com,616-785-8440,Wyoming,MI,49509,12,119,2026
17035383,Siskiyou Technical Services,john@sisqtech.com,530-598-2388,Etna,CA,96027,7,32,2025
17035447,FRINDAV E-RATE CONSULTING,dfringer@frindav.net,402-981-0167,Omaha,NE,68164,7,40,2026
17035594,M3 Global Connect,Mp2@m3globalconnect.com,954-599-5780,Eatonton,GA,31024,1,4,2024
17035600,EPC RPA Firm,,123-456-7890,Washington,DC,20005,115,625,2024
17035740,Caramia Consulting,gary@caramia.net,603-494-8774,Bedford,NH,03110,1,11,2026
17035771,"Department of Education and Early Development, State of Alaska",eed.tech@alaska.gov,907-465-2800,Juneau,AK,99801,37,190,2026
17036424,TECK Lady LLC,kaya@tecklady.com,410-929-3467,Odenton,MD,21113,1,8,2025
17036596,"Middle 51, LLC",kate@middlefiftyone.com,561-315-6102,Atlanta,GA,30350,28,159,2026
17036758,E-rate USA,erateusa@outlook.com,509-314-1055,Centerville,WA,98613,2,5,2026
17037691,"Erate Pro, LLC",info@eratepro.com,623-332-6357,St. Petersburg,FL,33702,71,271,2026
17046151,Office Technology Partners LLC,Omar@officetechnologypartners.com,818-912-7799,Los Angeles,CA,90024,1,3,2025
17046243,"FSC Educational Consulting, LLC",cikachf@gmail.com,440-283-8832,Novelty,OH,44072,4,20,2026
17046261,"Hard Rock Tech, LLC",james@consulting-hrt.com,201-208-2518,Charleston,IL,61920,1,2,2025
17046531,Boundless Federal Funding,info@usfbff.com,225-800-6575,Baton Rouge,LA,70809,16,50,2025
17048084,"Bespoke Consulting, LLC.",gharwood@bespokeconsulting.net,254-717-0238,Woodway,TX,76712,2,1,2026
17048098,"EMY Consulting, LLC",eyearly@emyconsulting.biz,703-943-8129,Arlington,VA,22203,1,1,2026
17048322,"Fuschia Computing Solutions, LLC",eric@fuschiasolutions.com,724-812-7380,Connellsville,PA,15425,1,2,2025
17049059,"Federal Funding Advisors, LLC",erate@ffadvisors.net,951-332-0084,Riverside,CA,92509,24,31,2026
17049085,American Indian Higher Education Consortium,info@aihec.org,703-838-0400,Alexandria,VA,22314,1,1,2026
17049183,Coastal Bend Erate,chris@coastalbenderate.com,361-728-9687,Corpus Christ,TX,78414,20,23,2026
17049206,"E-Rate Partners Consulting, LLC",e-rate@eratepartnersconsulting.com,315-547-6494,Lynchburg,VA,24506,1,1,2026
17049376,Iowa AEA E-Rate Consulting,erate@iowaaea.org,563-245-1480,Elkader,IA,52043,71,89,2026
